iterations;bestFitness;averageFitness;mutations;cruces
5;0.005681818181818182;0.0037500000000000016;148;745
10;0.005681818181818182;0.0032196969696969674;290;1490
15;0.005681818181818182;0.0037878787878787897;440;2235
20;0.005681818181818182;0.003636363636363637;583;2980
25;0.005681818181818182;0.0033712121212121195;727;3725
30;0.005681818181818182;0.003863636363636366;872;4470
35;0.005681818181818182;0.0035984848484848487;1031;5215
40;0.005681818181818182;0.0037878787878787897;1168;5960
45;0.005681818181818182;0.004090909090909096;1307;6705
50;0.005681818181818182;0.0039015151515151545;1433;7450
55;0.005681818181818182;0.003863636363636366;1575;8195
60;0.005681818181818182;0.0037878787878787897;1725;8940
65;0.005681818181818182;0.003674242424242425;1877;9685
70;0.005681818181818182;0.003484848484848484;2033;10430
75;0.005681818181818182;0.003674242424242425;2194;11175
80;0.005681818181818182;0.003977272727272731;2348;11920
85;0.005681818181818182;0.0032954545454545433;2503;12665
90;0.005681818181818182;0.0039015151515151545;2647;13410
95;0.005681818181818182;0.003143939393939392;2797;14155
100;0.005681818181818182;0.0037121212121212135;2939;14900
105;0.005681818181818182;0.003674242424242425;3089;15645
110;0.005681818181818182;0.0037878787878787897;3238;16390
115;0.005681818181818182;0.0035606060606060605;3388;17135
120;0.005681818181818182;0.003674242424242425;3563;17880
125;0.005681818181818182;0.003825757575757578;3699;18625
130;0.005681818181818182;0.0035606060606060605;3847;19370
135;0.005681818181818182;0.003863636363636366;4001;20115
140;0.005681818181818182;0.0040530303030303074;4165;20860
145;0.005681818181818182;0.003939393939393942;4297;21605
150;0.005681818181818182;0.003333333333333331;4468;22350
155;0.005681818181818182;0.003522727272727272;4620;23095
160;0.005681818181818182;0.003939393939393942;4769;23840
165;0.005681818181818182;0.0040530303030303074;4899;24585
170;0.005681818181818182;0.003674242424242425;5050;25330
175;0.005681818181818182;0.003522727272727272;5215;26075
180;0.005681818181818182;0.0037878787878787897;5353;26820
185;0.005681818181818182;0.003522727272727272;5500;27565
190;0.005681818181818182;0.003863636363636366;5657;28310
195;0.005681818181818182;0.003522727272727272;5798;29055
200;0.005681818181818182;0.003333333333333331;5943;29800
205;0.005681818181818182;0.0034090909090909076;6105;30545
210;0.005681818181818182;0.003333333333333331;6232;31290
215;0.005681818181818182;0.0034469696969696957;6373;32035
220;0.005681818181818182;0.003522727272727272;6530;32780
225;0.005681818181818182;0.003484848484848484;6689;33525
230;0.005681818181818182;0.0034469696969696957;6859;34270
235;0.005681818181818182;0.0037500000000000016;6990;35015
240;0.005681818181818182;0.0032954545454545433;7143;35760
245;0.005681818181818182;0.003636363636363637;7287;36505
250;0.005681818181818182;0.003863636363636366;7417;37250
255;0.005681818181818182;0.0033712121212121195;7579;37995
260;0.005681818181818182;0.0037500000000000016;7735;38740
265;0.005681818181818182;0.0035984848484848487;7894;39485
270;0.005681818181818182;0.0034469696969696957;8055;40230
275;0.005681818181818182;0.003674242424242425;8208;40975
280;0.005681818181818182;0.003636363636363637;8353;41720
285;0.005681818181818182;0.0032575757575757556;8513;42465
290;0.005681818181818182;0.003636363636363637;8676;43210
295;0.005681818181818182;0.003825757575757578;8818;43955
300;0.005681818181818182;0.003863636363636366;8980;44700
305;0.005681818181818182;0.003674242424242425;9113;45445
310;0.005681818181818182;0.004015151515151519;9238;46190
315;0.005681818181818182;0.003939393939393942;9405;46935
320;0.005681818181818182;0.0032196969696969674;9556;47680
325;0.005681818181818182;0.003825757575757578;9705;48425
330;0.005681818181818182;0.003674242424242425;9861;49170
335;0.005681818181818182;0.004015151515151519;10010;49915
340;0.005681818181818182;0.004128787878787884;10168;50660
345;0.005681818181818182;0.004128787878787884;10314;51405
350;0.005681818181818182;0.0037878787878787897;10468;52150
355;0.005681818181818182;0.0037121212121212135;10597;52895
360;0.005681818181818182;0.004090909090909096;10734;53640
365;0.005681818181818182;0.0033712121212121195;10887;54385
370;0.005681818181818182;0.003674242424242425;11047;55130
375;0.005681818181818182;0.0035984848484848487;11181;55875
380;0.005681818181818182;0.0037500000000000016;11320;56620
385;0.005681818181818182;0.0034090909090909076;11475;57365
390;0.005681818181818182;0.0033712121212121195;11629;58110
395;0.005681818181818182;0.003825757575757578;11786;58855
400;0.005681818181818182;0.0037500000000000016;11937;59600
405;0.005681818181818182;0.0039015151515151545;12078;60345
410;0.005681818181818182;0.003863636363636366;12212;61090
415;0.005681818181818182;0.003825757575757578;12366;61835
420;0.005681818181818182;0.003939393939393942;12510;62580
425;0.005681818181818182;0.004015151515151519;12650;63325
430;0.005681818181818182;0.003674242424242425;12803;64070
435;0.005681818181818182;0.003674242424242425;12968;64815
440;0.005681818181818182;0.0037500000000000016;13126;65560
445;0.005681818181818182;0.0037121212121212135;13273;66305
450;0.005681818181818182;0.0037121212121212135;13426;67050
455;0.005681818181818182;0.0034090909090909076;13575;67795
460;0.005681818181818182;0.003939393939393942;13715;68540
